Date,Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F),Date
"36,526.00",37.5,43,32,
"36,527.00",45,56,34,
"36,528.00",33,36,30,
"36,529.00",24.5,30,19,
"36,530.00",16,25,7,
"36,531.00",29,35,23,
"36,532.00",21.5,28,15,
"36,533.00",32,41,23,
"36,534.00",36,39,33,
"36,535.00",39,42,36,
"36,536.00",30,36,24,
"36,537.00",26.5,32,21,
"36,538.00",22,31,13,
"36,539.00",19,26,12,
"36,540.00",30.5,37,24,
"36,541.00",28.5,38,19,
"36,542.00",23.5,26,21,
"36,543.00",27.5,35,20,
"36,544.00",20.5,25,16,
"36,545.00",10,18,2,
"36,546.00",3.5,10,-3,
"36,547.00",16,24,8,
"36,548.00",12,21,3,
"36,549.00",6.5,16,-3,
"36,550.00",15.5,21,10,
"36,551.00",15,21,9,
"36,552.00",19.5,27,12,
"36,553.00",19.5,30,9,
"36,554.00",23.5,30,17,
"36,555.00",27,30,24,
"36,556.00",22.5,27,18,
"36,557.00",25,30,20,
"36,558.00",21,29,13,
"36,559.00",30,34,26,
"36,560.00",24,29,19,
"36,561.00",25.5,34,17,
"36,562.00",23,31,15,
"36,563.00",23.5,32,15,
"36,564.00",20.5,33,8,
"36,565.00",37,42,32,
"36,566.00",30,35,25,
"36,567.00",19.5,25,14,
"36,568.00",21,31,11,
"36,569.00",29,31,27,
"36,570.00",24.5,30,19,
"36,571.00",29.5,40,19,
"36,572.00",29,38,20,
"36,573.00",24,33,15,
"36,574.00",30,32,28,
"36,575.00",27.5,32,23,
"36,576.00",27.5,35,20,
"36,577.00",33,46,20,
"36,578.00",45.5,53,38,
"36,579.00",50,61,39,
"36,580.00",44.5,51,38,
"36,581.00",49.5,59,40,
"36,582.00",55.5,64,47,
"36,583.00",44.5,51,38,
"36,584.00",39.5,49,30,
"36,585.00",50,61,39,
"36,586.00",41,49,33,
"36,587.00",31.5,37,26,
"36,588.00",33.5,45,22,
"36,589.00",45,59,31,
"36,590.00",42,52,32,
"36,591.00",46.5,63,30,
"36,592.00",64,77,51,
"36,593.00",66,77,55,
"36,594.00",43,61,25,
"36,595.00",27.5,32,23,
"36,596.00",28.5,34,23,
"36,597.00",32,43,21,
"36,598.00",39,44,34,
"36,599.00",42,54,30,
"36,600.00",43.5,55,32,
"36,601.00",30,35,25,
"36,602.00",28,33,23,
"36,603.00",32,36,28,
"36,604.00",36,38,34,
"36,605.00",41,45,37,
"36,606.00",46.5,53,40,
"36,607.00",49.5,58,41,
"36,608.00",46.5,59,34,
"36,609.00",53.5,62,45,
"36,610.00",52.5,59,46,
"36,611.00",50,63,37,
"36,612.00",46.5,55,38,
"36,613.00",39.5,46,33,
"36,614.00",38,45,31,
"36,615.00",36,44,28,
"36,616.00",47.5,62,33,
"36,617.00",49,53,45,
"36,618.00",48,56,40,
"36,619.00",48.5,59,38,
"36,620.00",37.5,44,31,
"36,621.00",41.5,61,22,
"36,622.00",51,60,42,
"36,623.00",38,49,27,
"36,624.00",33,41,25,
"36,625.00",43,53,33,
"36,626.00",33.5,36,31,
"36,627.00",34.5,37,32,
"36,628.00",38,46,30,
"36,629.00",45,54,36,
"36,630.00",59,75,43,
"36,631.00",48.5,60,37,
"36,632.00",39,41,37,
"36,633.00",37.5,39,36,
"36,634.00",44,49,39,
"36,635.00",43,46,40,
"36,636.00",43.5,48,39,
"36,637.00",43,49,37,
"36,638.00",45.5,58,33,
"36,639.00",47,52,42,
"36,640.00",46.5,54,39,
"36,641.00",45,54,36,
"36,642.00",50,63,37,
"36,643.00",53,64,42,
"36,644.00",53,66,40,
"36,645.00",43,47,39,
"36,646.00",48,59,37,
"36,647.00",55.5,66,45,
"36,648.00",50.5,59,42,
"36,649.00",57,69,45,
"36,650.00",71,82,60,
"36,651.00",72.5,84,61,
"36,652.00",73.5,83,64,
"36,653.00",71,77,65,
"36,654.00",75,85,65,
"36,655.00",56.5,65,48,
"36,656.00",53.5,64,43,
"36,657.00",61,70,52,
"36,658.00",63.5,72,55,
"36,659.00",50.5,58,43,
"36,660.00",50.5,60,41,
"36,661.00",55.5,68,43,
"36,662.00",52.5,60,45,
"36,663.00",49.5,55,44,
"36,664.00",47.5,54,41,
"36,665.00",43.5,46,41,
"36,666.00",48,56,40,
"36,667.00",52.5,65,40,
"36,668.00",64.5,77,52,
"36,669.00",68.5,80,57,
"36,670.00",66,79,53,
"36,671.00",62.5,73,52,
"36,672.00",53.5,59,48,
"36,673.00",51,53,49,
"36,674.00",48.5,52,45,
"36,675.00",50.5,61,40,
"36,676.00",59.5,70,49,
"36,677.00",61,69,53,
"36,678.00",69.5,85,54,
"36,679.00",57.5,68,47,
"36,680.00",51,58,44,
"36,681.00",53,56,50,
"36,682.00",53,61,45,
"36,683.00",58,72,44,
"36,684.00",66,77,55,
"36,685.00",77,88,66,
"36,686.00",78,88,68,
"36,687.00",80.5,89,72,
"36,688.00",67.5,83,52,
"36,689.00",52,54,50,
"36,690.00",59.5,65,54,
"36,691.00",69.5,76,63,
"36,692.00",69,76,62,
"36,693.00",67,74,60,
"36,694.00",57,63,51,
"36,695.00",63,72,54,
"36,696.00",67.5,79,56,
"36,697.00",73,83,63,
"36,698.00",74.5,81,68,
"36,699.00",69,76,62,
"36,700.00",68.5,79,58,
"36,701.00",67.5,75,60,
"36,702.00",74.5,86,63,
"36,703.00",72,78,66,
"36,704.00",66,74,58,
"36,705.00",60.5,66,55,
"36,706.00",66.5,78,55,
"36,707.00",68,80,56,
"36,708.00",72,82,62,
"36,709.00",73,82,64,
"36,710.00",61,66,56,
"36,711.00",63,72,54,
"36,712.00",65.5,73,58,
"36,713.00",67.5,75,60,
"36,714.00",64,69,59,
"36,715.00",69.5,78,61,
"36,716.00",79,86,72,
"36,717.00",70,77,63,
"36,718.00",66,71,61,
"36,719.00",68,74,62,
"36,720.00",76,87,65,
"36,721.00",74.5,84,65,
"36,722.00",69,74,64,
"36,723.00",69.5,78,61,
"36,724.00",73.5,84,63,
"36,725.00",59.5,64,55,
"36,726.00",62,66,58,
"36,727.00",66.5,75,58,
"36,728.00",64,72,56,
"36,729.00",60.5,67,54,
"36,730.00",61.5,70,53,
"36,731.00",63,75,51,
"36,732.00",69.5,79,60,
"36,733.00",74.5,84,65,
"36,734.00",75,83,67,
"36,735.00",70,74,66,
"36,736.00",69.5,73,66,
"36,737.00",68.5,70,67,
"36,738.00",68.5,71,66,
"36,739.00",73,82,64,
"36,740.00",73,83,63,
"36,741.00",64,70,58,
"36,742.00",68,79,57,
"36,743.00",69,76,62,
"36,744.00",76.5,87,66,
"36,745.00",75.5,85,66,
"36,746.00",77,86,68,
"36,747.00",74.5,84,65,
"36,748.00",73,82,64,
"36,749.00",68,74,62,
"36,750.00",69,79,59,
"36,751.00",74.5,83,66,
"36,752.00",75,81,69,
"36,753.00",77,88,66,
"36,754.00",65,71,59,
"36,755.00",63.5,70,57,
"36,756.00",65.5,72,59,
"36,757.00",62.5,67,58,
"36,758.00",61,69,53,
"36,759.00",66,72,60,
"36,760.00",73.5,82,65,
"36,761.00",69.5,78,61,
"36,762.00",70,78,62,
"36,763.00",73.5,82,65,
"36,764.00",70,75,65,
"36,765.00",68.5,72,65,
"36,766.00",70,73,67,
"36,767.00",73,80,66,
"36,768.00",70.5,75,66,
"36,769.00",80,88,72,
"36,770.00",78,87,69,
"36,771.00",75,83,67,
"36,772.00",72.5,81,64,
"36,773.00",61,64,58,
"36,774.00",59.5,63,56,
"36,775.00",58.5,66,51,
"36,776.00",72,84,60,
"36,777.00",67.5,71,64,
"36,778.00",72,80,64,
"36,779.00",76.5,82,71,
"36,780.00",69.5,75,64,
"36,781.00",61,68,54,
"36,782.00",64.5,78,51,
"36,783.00",62.5,71,54,
"36,784.00",53.5,59,48,
"36,785.00",54.5,66,43,
"36,786.00",65.5,77,54,
"36,787.00",68,85,51,
"36,788.00",71.5,82,61,
"36,789.00",54.5,61,48,
"36,790.00",53,61,45,
"36,791.00",54.5,59,50,
"36,792.00",56,60,52,
"36,793.00",48.5,54,43,
"36,794.00",49,56,42,
"36,795.00",56.5,69,44,
"36,796.00",54,59,49,
"36,797.00",51.5,58,45,
"36,798.00",60.5,73,48,
"36,799.00",65,75,55,
"36,800.00",69.5,80,59,
"36,801.00",63.5,75,52,
"36,802.00",58.5,68,49,
"36,803.00",51.5,56,47,
"36,804.00",49.5,55,44,
"36,805.00",40.5,46,35,
"36,806.00",39.5,48,31,
"36,807.00",40,46,34,
"36,808.00",45.5,57,34,
"36,809.00",50.5,64,37,
"36,810.00",54,66,42,
"36,811.00",58,72,44,
"36,812.00",65.5,77,54,
"36,813.00",67,76,58,
"36,814.00",51,59,43,
"36,815.00",49.5,57,42,
"36,816.00",48,56,40,
"36,817.00",57,71,43,
"36,818.00",56.5,68,45,
"36,819.00",66,77,55,
"36,820.00",55,60,50,
"36,821.00",54.5,59,50,
"36,822.00",59,64,54,
"36,823.00",61,66,56,
"36,824.00",59,64,54,
"36,825.00",65.5,73,58,
"36,826.00",57,66,48,
"36,827.00",46.5,50,43,
"36,828.00",46.5,50,43,
"36,829.00",51,56,46,
"36,830.00",58,64,52,
"36,831.00",57.5,66,49,
"36,832.00",56.5,62,51,
"36,833.00",48,55,41,
"36,834.00",46.5,56,37,
"36,835.00",49,60,38,
"36,836.00",50,52,48,
"36,837.00",47.5,55,40,
"36,838.00",40,46,34,
"36,839.00",38,40,36,
"36,840.00",39,45,33,
"36,841.00",37,46,28,
"36,842.00",45.5,47,44,
"36,843.00",36.5,44,29,
"36,844.00",32,35,29,
"36,845.00",31,39,23,
"36,846.00",34.5,40,29,
"36,847.00",27.5,29,26,
"36,848.00",27,31,23,
"36,849.00",29,37,21,
"36,850.00",24,30,18,
"36,851.00",17.5,22,13,
"36,852.00",22.5,29,16,
"36,853.00",27.5,34,21,
"36,854.00",34,44,24,
"36,855.00",36,46,26,
"36,856.00",38.5,40,37,
"36,857.00",33,37,29,
"36,858.00",34.5,39,30,
"36,859.00",34,36,32,
"36,860.00",34,36,32,
"36,861.00",33.5,36,31,
"36,862.00",28.5,33,24,
"36,863.00",30,36,24,
"36,864.00",30.5,36,25,
"36,865.00",17.5,28,7,
"36,866.00",12,18,6,
"36,867.00",19.5,27,12,
"36,868.00",17,24,10,
"36,869.00",14.5,29,0,
"36,870.00",22.5,32,13,
"36,871.00",19.5,28,11,
"36,872.00",5.5,13,-2,
"36,873.00",11,26,-4,
"36,874.00",18.5,27,10,
"36,875.00",20.5,33,8,
"36,876.00",27.5,36,19,
"36,877.00",10,19,1,
"36,878.00",7.5,15,0,
"36,879.00",15.5,21,10,
"36,880.00",10,18,2,
"36,881.00",5,17,-7,
"36,882.00",2.5,13,-8,
"36,883.00",7,17,-3,
"36,884.00",8.5,17,0,
"36,885.00",5.5,14,-3,
"36,886.00",15,21,9,
"36,887.00",10.5,16,5,
"36,888.00",15,23,7,
"36,889.00",25.5,30,21,
"36,890.00",28,32,24,
"36,891.00",20.5,27,14,
"36,892.00",18.5,26,11,
"36,893.00",11.5,21,2,
"36,894.00",20.5,33,8,
"36,895.00",24.5,31,18,
"36,896.00",30,37,23,
"36,897.00",27,33,21,
"36,898.00",28,33,23,
"36,899.00",19,24,14,
"36,900.00",19,27,11,
"36,901.00",27.5,37,18,
"36,902.00",31.5,39,24,
"36,903.00",31,39,23,
"36,904.00",33.5,35,32,
"36,905.00",34.5,36,33,
"36,906.00",34.5,36,33,
"36,907.00",31.5,34,29,
"36,908.00",23,29,17,
"36,909.00",23.5,32,15,
"36,910.00",20,27,13,
"36,911.00",16.5,23,10,
"36,912.00",17,25,9,
"36,913.00",16.5,27,6,
"36,914.00",25.5,30,21,
"36,915.00",23.5,29,18,
"36,916.00",18.5,26,11,
"36,917.00",23,29,17,
"36,918.00",19.5,25,14,
"36,919.00",20,27,13,
"36,920.00",32,39,25,
"36,921.00",34,38,30,
"36,922.00",32.5,36,29,
"36,923.00",18,31,5,
"36,924.00",9,17,1,
"36,925.00",17.5,27,8,
"36,926.00",29.5,33,26,
"36,927.00",27.5,30,25,
"36,928.00",26,31,21,
"36,929.00",23.5,34,13,
"36,930.00",37,42,32,
"36,931.00",32,46,18,
"36,932.00",13.5,18,9,
"36,933.00",17.5,27,8,
"36,934.00",30.5,35,26,
"36,935.00",32,34,30,
"36,936.00",29.5,35,24,
"36,937.00",25.5,28,23,
"36,938.00",19,28,10,
"36,939.00",9.5,16,3,
"36,940.00",14.5,25,4,
"36,941.00",31.5,38,25,
"36,942.00",22.5,32,13,
"36,943.00",11.5,18,5,
"36,944.00",19,26,12,
"36,945.00",22.5,28,17,
"36,946.00",37,46,28,
"36,947.00",38.5,49,28,
"36,948.00",28,33,23,
"36,949.00",19,25,13,
"36,950.00",16,24,8,
"36,951.00",30,40,20,
"36,952.00",35,40,30,
"36,953.00",36,47,25,
"36,954.00",28.5,33,24,
"36,955.00",21.5,28,15,
"36,956.00",28,35,21,
"36,957.00",32.5,42,23,
"36,958.00",30,33,27,
"36,959.00",31.5,38,25,
"36,960.00",35.5,48,23,
"36,961.00",29,33,25,
"36,962.00",35.5,43,28,
"36,963.00",34.5,39,30,
"36,964.00",36.5,43,30,
"36,965.00",34,36,32,
"36,966.00",32,34,30,
"36,967.00",31.5,37,26,
"36,968.00",31,43,19,
"36,969.00",33,44,22,
"36,970.00",35.5,46,25,
"36,971.00",38,47,29,
"36,972.00",37.5,47,28,
"36,973.00",37,44,30,
"36,974.00",25.5,30,21,
"36,975.00",19.5,22,17,
"36,976.00",24.5,32,17,
"36,977.00",33,38,28,
"36,978.00",35,44,26,
"36,979.00",36,41,31,
"36,980.00",38.5,44,33,
"36,981.00",40.5,47,34,
"36,982.00",38.5,47,30,
"36,983.00",41.5,51,32,
"36,984.00",36,39,33,
"36,985.00",39.5,47,32,
"36,986.00",42,53,31,
"36,987.00",47.5,56,39,
"36,988.00",60,81,39,
"36,989.00",55,68,42,
"36,990.00",41,44,38,
"36,991.00",42,46,38,
"36,992.00",54,65,43,
"36,993.00",54.5,63,46,
"36,994.00",45,52,38,
"36,995.00",51,63,39,
"36,996.00",50,59,41,
"36,997.00",35.5,41,30,
"36,998.00",36,43,29,
"36,999.00",38.5,49,28,
"37,000.00",46.5,60,33,
"37,001.00",56.5,67,46,
"37,002.00",67,80,54,
"37,003.00",49.5,59,40,
"37,004.00",57.5,72,43,
"37,005.00",50,60,40,
"37,006.00",51,61,41,
"37,007.00",62,77,47,
"37,008.00",49,53,45,
"37,009.00",48.5,56,41,
"37,010.00",55,67,43,
"37,011.00",68,82,54,
"37,012.00",70,82,58,
"37,013.00",73.5,80,67,
"37,014.00",59.5,71,48,
"37,015.00",49.5,54,45,
"37,016.00",48.5,54,43,
"37,017.00",54.5,63,46,
"37,018.00",60,66,54,
"37,019.00",61,74,48,
"37,020.00",65.5,79,52,
"37,021.00",65.5,78,53,
"37,022.00",49,56,42,
"37,023.00",47,55,39,
"37,024.00",52.5,66,39,
"37,025.00",52.5,61,44,
"37,026.00",67,86,48,
"37,027.00",66.5,81,52,
"37,028.00",63,73,53,
"37,029.00",59.5,66,53,
"37,030.00",59,68,50,
"37,031.00",60.5,70,51,
"37,032.00",59,65,53,
"37,033.00",52.5,61,44,
"37,034.00",49.5,55,44,
"37,035.00",49.5,55,44,
"37,036.00",50,58,42,
"37,037.00",49,55,43,
"37,038.00",54,59,49,
"37,039.00",61.5,71,52,
"37,040.00",50.5,57,44,
"37,041.00",50,59,41,
"37,042.00",49.5,55,44,
"37,043.00",55.5,63,48,
"37,044.00",51.5,55,48,
"37,045.00",50,53,47,
"37,046.00",47,51,43,
"37,047.00",49.5,55,44,
"37,048.00",54,58,50,
"37,049.00",60.5,68,53,
"37,050.00",62,71,53,
"37,051.00",70,81,59,
"37,052.00",72.5,83,62,
"37,053.00",70.5,81,60,
"37,054.00",72.5,84,61,
"37,055.00",76,87,65,
"37,056.00",79,88,70,
"37,057.00",69,75,63,
"37,058.00",68.5,81,56,
"37,059.00",67,77,57,
"37,060.00",72.5,85,60,
"37,061.00",72.5,80,65,
"37,062.00",67.5,75,60,
"37,063.00",64,70,58,
"37,064.00",59,63,55,
"37,065.00",60.5,70,51,
"37,066.00",67.5,77,58,
"37,067.00",72,82,62,
"37,068.00",73,81,65,
"37,069.00",73.5,83,64,
"37,070.00",73.5,81,66,
"37,071.00",76.5,86,67,
"37,072.00",79,88,70,
"37,073.00",62,73,51,
"37,074.00",55,63,47,
"37,075.00",71,82,60,
"37,076.00",74,84,64,
"37,077.00",61.5,68,55,
"37,078.00",66,77,55,
"37,079.00",74.5,84,65,
"37,080.00",72,82,62,
"37,081.00",77,86,68,
"37,082.00",74.5,88,61,
"37,083.00",65,72,58,
"37,084.00",67,74,60,
"37,085.00",70.5,80,61,
"37,086.00",73.5,84,63,
"37,087.00",76.5,87,66,
"37,088.00",76,85,67,
"37,089.00",73.5,78,69,
"37,090.00",74,80,68,
"37,091.00",73.5,80,67,
"37,092.00",79,87,71,
"37,093.00",83,90,76,
"37,094.00",80.5,90,71,
"37,095.00",82.5,91,74,
"37,096.00",78,84,72,
"37,097.00",70,75,65,
"37,098.00",67.5,72,63,
"37,099.00",66.5,71,62,
"37,100.00",73,81,65,
"37,101.00",74.5,81,68,
"37,102.00",71,77,65,
"37,103.00",81.5,94,69,
"37,104.00",82.5,91,74,
"37,105.00",78,84,72,
"37,106.00",73,78,68,
"37,107.00",73,81,65,
"37,108.00",75,87,63,
"37,109.00",82,92,72,
"37,110.00",86.5,94,79,
"37,111.00",86.5,95,78,
"37,112.00",84,95,73,
"37,113.00",69,74,64,
"37,114.00",69.5,76,63,
"37,115.00",74,84,64,
"37,116.00",66.5,74,59,
"37,117.00",66.5,76,57,
"37,118.00",68,75,61,
"37,119.00",66.5,72,61,
"37,120.00",70,79,61,
"37,121.00",68,74,62,
"37,122.00",67,73,61,
"37,123.00",68.5,78,59,
"37,124.00",69,78,60,
"37,125.00",72.5,77,68,
"37,126.00",71.5,75,68,
"37,127.00",70.5,73,68,
"37,128.00",75,80,70,
"37,129.00",73,81,65,
"37,130.00",75,83,67,
"37,131.00",68.5,76,61,
"37,132.00",68,79,57,
"37,133.00",75.5,85,66,
"37,134.00",65.5,72,59,
"37,135.00",61,67,55,
"37,136.00",65,77,53,
"37,137.00",75.5,87,64,
"37,138.00",64.5,70,59,
"37,139.00",64.5,73,56,
"37,140.00",68.5,78,59,
"37,141.00",76,86,66,
"37,142.00",72.5,79,66,
"37,143.00",60.5,66,55,
"37,144.00",63.5,75,52,
"37,145.00",60.5,72,49,
"37,146.00",70,81,59,
"37,147.00",58.5,62,55,
"37,148.00",57,61,53,
"37,149.00",58.5,65,52,
"37,150.00",58.5,67,50,
"37,151.00",59,63,55,
"37,152.00",61,68,54,
"37,153.00",61,64,58,
"37,154.00",63.5,72,55,
"37,155.00",62.5,67,58,
"37,156.00",64,74,54,
"37,157.00",55.5,63,48,
"37,158.00",49.5,55,44,
"37,159.00",49,58,40,
"37,160.00",59,68,50,
"37,161.00",52.5,59,46,
"37,162.00",52,55,49,
"37,163.00",54,62,46,
"37,164.00",57.5,71,44,
"37,165.00",65.5,77,54,
"37,166.00",64.5,78,51,
"37,167.00",65.5,75,56,
"37,168.00",54.5,59,50,
"37,169.00",46,51,41,
"37,170.00",39.5,47,32,
"37,171.00",40.5,52,29,
"37,172.00",55.5,63,48,
"37,173.00",63,70,56,
"37,174.00",58.5,64,53,
"37,175.00",57,64,50,
"37,176.00",53.5,59,48,
"37,177.00",56.5,60,53,
"37,178.00",53,60,46,
"37,179.00",47.5,52,43,
"37,180.00",45.5,52,39,
"37,181.00",42.5,51,34,
"37,182.00",50.5,62,39,
"37,183.00",50,59,41,
"37,184.00",54,63,45,
"37,185.00",52.5,61,44,
"37,186.00",50.5,60,41,
"37,187.00",57,60,54,
"37,188.00",49.5,60,39,
"37,189.00",38.5,40,37,
"37,190.00",39.5,42,37,
"37,191.00",37.5,45,30,
"37,192.00",43,55,31,
"37,193.00",49.5,54,45,
"37,194.00",46.5,50,43,
"37,195.00",58.5,68,49,
"37,196.00",60,64,56,
"37,197.00",55,64,46,
"37,198.00",51,65,37,
"37,199.00",48,59,37,
"37,200.00",44,56,32,
"37,201.00",51.5,64,39,
"37,202.00",51.5,58,45,
"37,203.00",45.5,59,32,
"37,204.00",42,53,31,
"37,205.00",48,56,40,
"37,206.00",40,46,34,
"37,207.00",44,55,33,
"37,208.00",49,54,44,
"37,209.00",57,62,52,
"37,210.00",60,65,55,
"37,211.00",48,56,40,
"37,212.00",49.5,63,36,
"37,213.00",53,60,46,
"37,214.00",45,57,33,
"37,215.00",35,41,29,
"37,216.00",45.5,56,35,
"37,217.00",44.5,55,34,
"37,218.00",50.5,56,45,
"37,219.00",54.5,59,50,
"37,220.00",44.5,50,39,
"37,221.00",41,46,36,
"37,222.00",43.5,50,37,
"37,223.00",38.5,41,36,
"37,224.00",40,44,36,
"37,225.00",43,44,42,
"37,226.00",38,44,32,
"37,227.00",39,50,28,
"37,228.00",47.5,55,40,
"37,229.00",55,60,50,
"37,230.00",55,68,42,
"37,231.00",42,50,34,
"37,232.00",37,41,33,
"37,233.00",36,43,29,
"37,234.00",31,40,22,
"37,235.00",39.5,49,30,
"37,236.00",35.5,47,24,
"37,237.00",43.5,46,41,
"37,238.00",38,45,31,
"37,239.00",33.5,36,31,
"37,240.00",33,42,24,
"37,241.00",43,45,41,
"37,242.00",38,44,32,
"37,243.00",38.5,48,29,
"37,244.00",36,42,30,
"37,245.00",31.5,38,25,
"37,246.00",31,38,24,
"37,247.00",40,46,34,
"37,248.00",28,34,22,
"37,249.00",20.5,24,17,
"37,250.00",16.5,22,11,
"37,251.00",14,17,11,
"37,252.00",20.5,25,16,
"37,253.00",18,22,14,
"37,254.00",13,17,9,
"37,255.00",12,17,7,
"37,256.00",14,20,8,
"37,257.00",19,27,11,
"37,258.00",22.5,30,15,
"37,259.00",19,26,12,
"37,260.00",26,33,19,
"37,261.00",32,36,28,
"37,262.00",26.5,34,19,
"37,263.00",22,27,17,
"37,264.00",32,43,21,
"37,265.00",47,54,40,
"37,266.00",38.5,44,33,
"37,267.00",37,43,31,
"37,268.00",33,36,30,
"37,269.00",32,39,25,
"37,270.00",37,41,33,
"37,271.00",31,34,28,
"37,272.00",27,30,24,
"37,273.00",19,25,13,
"37,274.00",12.5,18,7,
"37,275.00",17,27,7,
"37,276.00",26,32,20,
"37,277.00",30,35,25,
"37,278.00",39,50,28,
"37,279.00",39,44,34,
"37,280.00",35,38,32,
"37,281.00",39,50,28,
"37,282.00",42,50,34,
"37,283.00",47,55,39,
"37,284.00",36.5,43,30,
"37,285.00",28.5,30,27,
"37,286.00",28.5,31,26,
"37,287.00",31,33,29,
"37,288.00",27,32,22,
"37,289.00",22.5,32,13,
"37,290.00",27,37,17,
"37,291.00",17.5,23,12,
"37,292.00",22.5,32,13,
"37,293.00",30.5,41,20,
"37,294.00",37.5,47,28,
"37,295.00",39.5,50,29,
"37,296.00",37,44,30,
"37,297.00",31.5,40,23,
"37,298.00",28,38,18,
"37,299.00",30.5,41,20,
"37,300.00",26,35,17,
"37,301.00",37.5,45,30,
"37,302.00",37.5,41,34,
"37,303.00",36,41,31,
"37,304.00",29,33,25,
"37,305.00",39,51,27,
"37,306.00",41,45,37,
"37,307.00",42.5,53,32,
"37,308.00",28.5,32,25,
"37,309.00",27.5,35,20,
"37,310.00",34,43,25,
"37,311.00",46.5,55,38,
"37,312.00",39,49,29,
"37,313.00",24.5,29,20,
"37,314.00",23,28,18,
"37,315.00",23,30,16,
"37,316.00",23.5,29,18,
"37,317.00",26,34,18,
"37,318.00",10.5,18,3,
"37,319.00",3,12,-6,
"37,320.00",18.5,28,9,
"37,321.00",29.5,33,26,
"37,322.00",32.5,35,30,
"37,323.00",45,55,35,
"37,324.00",39,59,19,
"37,325.00",19.5,27,12,
"37,326.00",34.5,45,24,
"37,327.00",34,44,24,
"37,328.00",46,56,36,
"37,329.00",37.5,41,34,
"37,330.00",37.5,43,32,
"37,331.00",33,37,29,
"37,332.00",35,38,32,
"37,333.00",35,40,30,
"37,334.00",36.5,43,30,
"37,335.00",36.5,40,33,
"37,336.00",28,41,15,
"37,337.00",23.5,34,13,
"37,338.00",35,44,26,
"37,339.00",29.5,36,23,
"37,340.00",25,30,20,
"37,341.00",30.5,35,26,
"37,342.00",33,44,22,
"37,343.00",39.5,48,31,
"37,344.00",39.5,44,35,
"37,345.00",43,51,35,
"37,346.00",36.5,45,28,
"37,347.00",34,37,31,
"37,348.00",33,36,30,
"37,349.00",33.5,38,29,
"37,350.00",31.5,36,27,
"37,351.00",33,40,26,
"37,352.00",31.5,38,25,
"37,353.00",38.5,43,34,
"37,354.00",45,48,42,
"37,355.00",39.5,44,35,
"37,356.00",46,57,35,
"37,357.00",58.5,72,45,
"37,358.00",53,64,42,
"37,359.00",46.5,53,40,
"37,360.00",56,70,42,
"37,361.00",73,88,58,
"37,362.00",76.5,86,67,
"37,363.00",72,82,62,
"37,364.00",68,88,48,
"37,365.00",53,66,40,
"37,366.00",40.5,44,37,
"37,367.00",36,39,33,
"37,368.00",36.5,40,33,
"37,369.00",36.5,47,26,
"37,370.00",56,70,42,
"37,371.00",45,53,37,
"37,372.00",39.5,45,34,
"37,373.00",40,43,37,
"37,374.00",42,45,39,
"37,375.00",49,60,38,
"37,376.00",51,58,44,
"37,377.00",49,57,41,
"37,378.00",46.5,52,41,
"37,379.00",40.5,47,34,
"37,380.00",46.5,62,31,
"37,381.00",52,61,43,
"37,382.00",65,75,55,
"37,383.00",54,66,42,
"37,384.00",47,51,43,
"37,385.00",54.5,60,49,
"37,386.00",53.5,62,45,
"37,387.00",46,51,41,
"37,388.00",44.5,47,42,
"37,389.00",48.5,55,42,
"37,390.00",51.5,62,41,
"37,391.00",57,74,40,
"37,392.00",52.5,66,39,
"37,393.00",39.5,44,35,
"37,394.00",39.5,46,33,
"37,395.00",42.5,49,36,
"37,396.00",39.5,44,35,
"37,397.00",44,55,33,
"37,398.00",52.5,64,41,
"37,399.00",63,69,57,
"37,400.00",52,63,41,
"37,401.00",43.5,47,40,
"37,402.00",56.5,73,40,
"37,403.00",61,72,50,
"37,404.00",59.5,70,49,
"37,405.00",68,81,55,
"37,406.00",75,86,64,
"37,407.00",76,84,68,
"37,408.00",74.5,90,59,
"37,409.00",54.5,62,47,
"37,410.00",50.5,55,46,
"37,411.00",57,64,50,
"37,412.00",51,57,45,
"37,413.00",56.5,67,46,
"37,414.00",61.5,72,51,
"37,415.00",72,83,61,
"37,416.00",70.5,82,59,
"37,417.00",76.5,88,65,
"37,418.00",73.5,81,66,
"37,419.00",60.5,66,55,
"37,420.00",59,63,55,
"37,421.00",61,68,54,
"37,422.00",65,75,55,
"37,423.00",66,77,55,
"37,424.00",65.5,76,55,
"37,425.00",62,70,54,
"37,426.00",69,80,58,
"37,427.00",81,90,72,
"37,428.00",70.5,77,64,
"37,429.00",77,91,63,
"37,430.00",81,91,71,
"37,431.00",79.5,90,69,
"37,432.00",80.5,91,70,
"37,433.00",77,85,69,
"37,434.00",70,75,65,
"37,435.00",74.5,86,63,
"37,436.00",76.5,84,69,
"37,437.00",82,95,69,
"37,438.00",84.5,93,76,
"37,439.00",84.5,93,76,
"37,440.00",84,93,75,
"37,441.00",73.5,86,61,
"37,442.00",67,73,61,
"37,443.00",71.5,79,64,
"37,444.00",75.5,84,67,
"37,445.00",83.5,95,72,
"37,446.00",70,74,66,
"37,447.00",68.5,72,65,
"37,448.00",67.5,72,63,
"37,449.00",66.5,76,57,
"37,450.00",68,80,56,
"37,451.00",68.5,82,55,
"37,452.00",78,88,68,
"37,453.00",80.5,89,72,
"37,454.00",80.5,90,71,
