Date,Daily Average Temperature (F),Daily Maximum Temperature (F),Daily Minimum Temperature (F)
11/19/10,39,47,31
11/20/10,36,42,30
11/21/10,50,59,41
11/22/10,52,65,39
11/23/10,31,39,23
11/24/10,33.5,43,24
11/25/10,32,43,21
11/26/10,25,32,18
11/27/10,27.5,34,21
11/28/10,33.5,45,22
11/29/10,43.5,49,38
11/30/10,38,48,28
12/1/10,26,28,24
12/2/10,26,32,20
12/3/10,22.5,28,17
12/4/10,30.5,34,27
12/5/10,22.5,28,17
12/6/10,18.5,24,13
12/7/10,17.5,22,13
12/8/10,19,26,12
12/9/10,19,29,9
12/10/10,31.5,39,24
12/11/10,30.5,39,22
12/12/10,24.5,36,13
12/13/10,12,16,8
12/14/10,13.5,21,6
12/15/10,15,25,5
12/16/10,21,26,16
12/17/10,19.5,26,13
12/18/10,16,20,12
12/19/10,19.5,25,14
12/20/10,20,31,9
12/21/10,32.5,34,31
12/22/10,30.5,36,25
12/23/10,28.5,30,27
12/24/10,29,32,26
12/25/10,30.5,33,28
12/26/10,26.5,30,23
12/27/10,19,26,12
12/28/10,23,31,15
12/29/10,30,40,20
12/30/10,42,49,35
12/31/10,50,54,46
1/1/11,28.5,45,12
1/2/11,18.5,25,12
1/3/11,27.5,32,23
1/4/11,20,29,11
1/5/11,16,25,7
1/6/11,19.5,25,14
1/7/11,16,21,11
1/8/11,18,26,10
1/9/11,20.5,31,10
1/10/11,24.5,30,19
1/11/11,25.5,28,23
1/12/11,26,29,23
1/13/11,23,26,20
1/14/11,20.5,23,18
1/15/11,18.5,24,13
1/16/11,13.5,19,8
1/17/11,25,34,16
1/18/11,26,34,18
1/19/11,17,22,12
1/20/11,12,20,4
1/21/11,2,9,-5
1/22/11,8.5,15,2
1/23/11,12.5,21,4
1/24/11,21.5,26,17
1/25/11,26,30,22
1/26/11,22,25,19
1/27/11,22.5,27,18
1/28/11,27.5,31,24
1/29/11,30.5,34,27
1/30/11,25.5,28,23
1/31/11,23,26,20
2/1/11,21.5,24,19
2/2/11,16.5,24,9
2/3/11,9,19,-1
2/4/11,16,24,8
2/5/11,22.5,32,13
2/6/11,27.5,31,24
2/7/11,23,27,19
2/8/11,11,19,3
2/9/11,7,14,0
2/10/11,4,15,-7
2/11/11,15.5,29,2
2/12/11,30,36,24
2/13/11,38,44,32
2/14/11,35.5,43,28
2/15/11,31.5,38,25
2/16/11,41.5,46,37
2/17/11,46,53,39
2/18/11,40.5,50,31
2/19/11,26,31,21
2/20/11,30.5,35,26
2/21/11,26.5,31,22
2/22/11,24,27,21
2/23/11,28,31,25
2/24/11,32.5,34,31
2/25/11,28.5,33,24
2/26/11,19,24,14
2/27/11,27,33,21
2/28/11,27,34,20
3/1/11,30.5,43,18
3/2/11,28,36,20
3/3/11,29.5,37,22
3/4/11,34.5,37,32
3/5/11,29,32,26
3/6/11,25.5,30,21
3/7/11,27,35,19
3/8/11,35,37,33
3/9/11,33.5,36,31
3/10/11,34.5,39,30
3/11/11,35.5,45,26
3/12/11,35.5,41,30
3/13/11,34,40,28
3/14/11,32.5,37,28
3/15/11,34,42,26
3/16/11,46.5,60,33
3/17/11,56.5,65,48
3/18/11,42.5,50,35
3/19/11,34,40,28
3/20/11,36.5,41,32
3/21/11,46,53,39
3/22/11,36,39,33
3/23/11,29.5,33,26
3/24/11,27,32,22
3/25/11,27,34,20
3/26/11,27,30,24
3/27/11,28,33,23
3/28/11,28.5,35,22
3/29/11,31,39,23
3/30/11,32,40,24
3/31/11,33.5,46,21
4/1/11,39,46,32
4/2/11,43,52,34
4/3/11,38,44,32
4/4/11,42,47,37
4/5/11,43,52,34
4/6/11,42,50,34
4/7/11,38,42,34
4/8/11,43.5,48,39
4/9/11,46.5,52,41
4/10/11,65.5,84,47
4/11/11,52.5,64,41
4/12/11,44.5,53,36
4/13/11,50.5,66,35
4/14/11,40,45,35
4/15/11,40,44,36
4/16/11,38.5,43,34
4/17/11,44.5,52,37
4/18/11,35.5,40,31
4/19/11,36,39,33
4/20/11,38,42,34
4/21/11,40,47,33
4/22/11,39.5,41,38
4/23/11,50,60,40
4/24/11,47,51,43
4/25/11,47.5,54,41
4/26/11,53.5,65,42
4/27/11,48.5,53,44
4/28/11,43,46,40
4/29/11,47.5,57,38
4/30/11,53.5,63,44
5/1/11,54.5,63,46
5/2/11,48.5,57,40
5/3/11,41.5,44,39
5/4/11,48.5,58,39
5/5/11,51.5,64,39
5/6/11,56.5,66,47
5/7/11,47,51,43
5/8/11,48,57,39
5/9/11,53.5,59,48
5/10/11,57,66,48
5/11/11,58.5,67,50
5/12/11,68.5,86,51
5/13/11,56.5,68,45
5/14/11,46,48,44
5/15/11,45.5,48,43
5/16/11,45,49,41
5/17/11,47,56,38
5/18/11,50,55,45
5/19/11,57.5,66,49
5/20/11,56.5,66,47
5/21/11,56,64,48
5/22/11,66,79,53
5/23/11,70,79,61
5/24/11,53.5,64,43
5/25/11,45.5,47,44
5/26/11,45.5,49,42
5/27/11,49,58,40
5/28/11,56.5,66,47
5/29/11,56.5,65,48
5/30/11,69,88,50
5/31/11,78.5,85,72
6/1/11,70.5,79,62
6/2/11,56.5,66,47
6/3/11,64.5,79,50
6/4/11,75.5,86,65
6/5/11,63,70,56
6/6/11,73.5,94,53
6/7/11,83.5,97,70
6/8/11,78,93,63
6/9/11,59,69,49
6/10/11,50.5,54,47
6/11/11,54,58,50
6/12/11,56,63,49
6/13/11,59.5,70,49
6/14/11,61.5,70,53
6/15/11,58.5,62,55
6/16/11,67.5,78,57
6/17/11,61.5,70,53
6/18/11,64,71,57
6/19/11,65,74,56
6/20/11,63,71,55
6/21/11,66,77,55
6/22/11,68.5,75,62
6/23/11,63.5,67,60
6/24/11,63.5,70,57
6/25/11,66,77,55
6/26/11,64.5,75,54
6/27/11,72,83,61
6/28/11,71,79,63
6/29/11,62.5,69,56
6/30/11,69,81,57
7/1/11,77.5,88,67
7/2/11,81.5,88,75
7/3/11,73.5,81,66
7/4/11,72.5,84,61
7/5/11,80,91,69
7/6/11,69.5,78,61
7/7/11,67.5,75,60
7/8/11,70,81,59
7/9/11,74.5,87,62
7/10/11,82,91,73
7/11/11,79.5,89,70
7/12/11,72.5,80,65
7/13/11,65.5,70,61
7/14/11,68,75,61
7/15/11,73,81,65
7/16/11,77.5,85,70
7/17/11,83.5,95,72
7/18/11,84.5,95,74
7/19/11,78.5,85,72
7/20/11,86,98,74
7/21/11,86.5,94,79
7/22/11,78.5,86,71
7/23/11,78.5,86,71
7/24/11,75.5,82,69
7/25/11,76.5,85,68
7/26/11,72,77,67
7/27/11,68.5,74,63
7/28/11,78.5,85,72
7/29/11,77,83,71
7/30/11,79.5,89,70
7/31/11,79.5,91,68
8/1/11,83.5,91,76
8/2/11,83,91,75
8/3/11,75.5,82,69
8/4/11,72.5,79,66
8/5/11,74.5,79,70
8/6/11,77.5,82,73
8/7/11,78,87,69
8/8/11,71.5,77,66
8/9/11,72,80,64
8/10/11,67.5,77,58
8/11/11,70.5,82,59
8/12/11,70.5,81,60
8/13/11,72,78,66
8/14/11,67.5,74,61
8/15/11,70.5,82,59
8/16/11,73.5,85,62
8/17/11,75,84,66
8/18/11,72.5,80,65
8/19/11,73,84,62
8/20/11,72,80,64
8/21/11,71,80,62
8/22/11,69,79,59
8/23/11,71.5,79,64
8/24/11,79.5,91,68
8/25/11,69,78,60
8/26/11,69,81,57
8/27/11,72.5,77,68
8/28/11,66.5,74,59
8/29/11,67.5,79,56
8/30/11,68.5,75,62
8/31/11,75.5,85,66
9/1/11,77,87,67
9/2/11,81.5,90,73
9/3/11,73.5,78,69
9/4/11,61.5,70,53
9/5/11,56.5,63,50
9/6/11,59.5,65,54
9/7/11,60,68,52
9/8/11,64,73,55
9/9/11,67.5,73,62
9/10/11,67,76,58
9/11/11,71,84,58
9/12/11,77,87,67
9/13/11,65.5,74,57
9/14/11,54,62,46
9/15/11,49,58,40
9/16/11,52,60,44
9/17/11,60,65,55
9/18/11,62.5,65,60
9/19/11,63,73,53
9/20/11,62,75,49
9/21/11,62,69,55
9/22/11,55,61,49
9/23/11,53,60,46
9/24/11,54,61,47
9/25/11,57.5,62,53
9/26/11,58.5,63,54
9/27/11,59,62,56
9/28/11,57,63,51
9/29/11,58.5,67,50
9/30/11,51.5,59,44
10/1/11,48.5,54,43
10/2/11,53,67,39
10/3/11,54.5,63,46
10/4/11,58,70,46
10/5/11,62.5,76,49
10/6/11,62,75,49
10/7/11,66,80,52
10/8/11,70,82,58
10/9/11,65,77,53
10/10/11,61,70,52
10/11/11,66,76,56
10/12/11,64,72,56
10/13/11,57.5,62,53
10/14/11,53.5,59,48
10/15/11,54,60,48
10/16/11,55.5,61,50
10/17/11,51.5,59,44
10/18/11,46.5,52,41
10/19/11,45.5,49,42
10/20/11,43.5,46,41
10/21/11,46.5,55,38
10/22/11,49.5,61,38
10/23/11,52,66,38
10/24/11,53,62,44
10/25/11,56.5,65,48
10/26/11,46,48,44
10/27/11,43.5,51,36
10/28/11,45,55,35
10/29/11,42.5,53,32
10/30/11,41.5,54,29
10/31/11,43.5,50,37
11/1/11,48,62,34
11/2/11,50,60,40
11/3/11,45,48,42
11/4/11,43,49,37
11/5/11,45.5,55,36
11/6/11,52,58,46
11/7/11,49,59,39
11/8/11,46.5,50,43
11/9/11,40.5,46,35
11/10/11,34.5,38,31
11/11/11,36,43,29
11/12/11,46.5,58,35
11/13/11,56.5,66,47
11/14/11,44,52,36
11/15/11,45,60,30
11/16/11,37.5,44,31
11/17/11,29.5,34,25
11/18/11,38.5,51,26
11/19/11,47,55,39
11/20/11,42,49,35
11/21/11,37.5,41,34
11/22/11,40.5,43,38
11/23/11,40.5,49,32
11/24/11,42,46,38
11/25/11,48,53,43
11/26/11,50.5,53,48
11/27/11,40.5,48,33
11/28/11,32,35,29
11/29/11,35,41,29
11/30/11,34,44,24
12/1/11,36.5,44,29
12/2/11,35,39,31
12/3/11,42,48,36
12/4/11,42.5,50,35
12/5/11,34.5,36,33
12/6/11,29.5,33,26
12/7/11,29,34,24
12/8/11,28.5,35,22
12/9/11,21.5,27,16
12/10/11,18.5,27,10
12/11/11,35.5,46,25
12/12/11,37,46,28
12/13/11,40,43,37
12/14/11,45.5,53,38
12/15/11,42,54,30
12/16/11,28.5,33,24
12/17/11,28,32,24
12/18/11,33,42,24
12/19/11,40.5,46,35
12/20/11,33.5,37,30
12/21/11,36.5,39,34
12/22/11,32,36,28
12/23/11,25,31,19
12/24/11,30.5,39,22
12/25/11,36.5,42,31
12/26/11,35,44,26
12/27/11,31,41,21
12/28/11,22.5,29,16
12/29/11,36,44,28
12/30/11,33.5,40,27
12/31/11,33,40,26
1/1/12,31.5,38,25
1/2/12,20,25,15
1/3/12,18,26,10
1/4/12,29,34,24
1/5/12,36.5,47,26
1/6/12,44.5,51,38
1/7/12,35,41,29
1/8/12,30,41,19
1/9/12,36.5,46,27
1/10/12,37.5,50,25
1/11/12,41.5,55,28
1/12/12,28,36,20
1/13/12,20,22,18
1/14/12,17.5,21,14
1/15/12,20,30,10
1/16/12,35,41,29
1/17/12,25,37,13
1/18/12,15,24,6
1/19/12,12.5,25,0
1/20/12,6.5,14,-1
1/21/12,16.5,27,6
1/22/12,29,37,21
1/23/12,35.5,42,29
1/24/12,27,32,22
1/25/12,28.5,35,22
1/26/12,34.5,38,31
1/27/12,36.5,42,31
1/28/12,31.5,37,26
1/29/12,23.5,30,17
1/30/12,29.5,45,14
1/31/12,47,54,40
2/1/12,37,41,33
2/2/12,33,36,30
2/3/12,34,37,31
2/4/12,34.5,40,29
2/5/12,35.5,42,29
2/6/12,35,42,28
2/7/12,30,36,24
2/8/12,27,34,20
2/9/12,28.5,37,20
2/10/12,21.5,33,10
2/11/12,12.5,18,7
2/12/12,23.5,33,14
2/13/12,23.5,31,16
2/14/12,31.5,35,28
2/15/12,40.5,48,33
2/16/12,39.5,45,34
2/17/12,33,40,26
2/18/12,30.5,38,23
2/19/12,28,37,19
2/20/12,31,41,21
2/21/12,37.5,42,33
2/22/12,37,45,29
2/23/12,31,39,23
2/24/12,31,35,27
2/25/12,24,31,17
2/26/12,28.5,45,12
2/27/12,32,38,26
2/28/12,29.5,38,21
2/29/12,43,53,33
3/1/12,36.5,39,34
3/2/12,35,38,32
3/3/12,30.5,34,27
3/4/12,24,28,20
3/5/12,23.5,32,15
3/6/12,46.5,63,30
3/7/12,59,66,52
3/8/12,45,55,35
3/9/12,30,35,25
3/10/12,44,59,29
3/11/12,53,66,40
3/12/12,53,60,46
3/13/12,55.5,66,45
3/14/12,58.5,78,39
3/15/12,58,72,44
3/16/12,51.5,58,45
3/17/12,66,74,58
3/18/12,67,79,55
3/19/12,62,72,52
3/20/12,67.5,83,52
3/21/12,70,84,56
3/22/12,61.5,74,49
3/23/12,51.5,56,47
3/24/12,53,60,46
3/25/12,49,61,37
3/26/12,37.5,41,34
3/27/12,55.5,71,40
3/28/12,51.5,64,39
3/29/12,39.5,43,36
3/30/12,39,41,37
3/31/12,38,40,36
4/1/12,42.5,48,37
4/2/12,47,52,42
4/3/12,48.5,53,44
4/4/12,42.5,49,36
4/5/12,40.5,43,38
4/6/12,40.5,48,33
4/7/12,46,60,32
4/8/12,53.5,62,45
4/9/12,47.5,58,37
4/10/12,38,42,34
4/11/12,39.5,48,31
4/12/12,44.5,58,31
4/13/12,45.5,58,33
4/14/12,58.5,69,48
4/15/12,65.5,74,57
4/16/12,54.5,68,41
4/17/12,41.5,45,38
4/18/12,54.5,70,39
4/19/12,48.5,58,39
4/20/12,41.5,44,39
4/21/12,40.5,48,33
4/22/12,43.5,50,37
4/23/12,46.5,56,37
4/24/12,51,61,41
4/25/12,46,50,42
4/26/12,43.5,51,36
4/27/12,40.5,48,33
4/28/12,41.5,43,40
4/29/12,44,50,38
4/30/12,51,58,44
5/1/12,52,55,49
5/2/12,65,80,50
5/3/12,71,83,59
5/4/12,58,70,46
5/5/12,50,53,47
5/6/12,53.5,61,46
5/7/12,54.5,61,48
5/8/12,60,68,52
5/9/12,51,56,46
5/10/12,51.5,62,41
5/11/12,63,77,49
5/12/12,59.5,69,50
5/13/12,58,67,49
5/14/12,65.5,79,52
5/15/12,66.5,85,48
5/16/12,51.5,59,44
5/17/12,54,64,44
5/18/12,64.5,77,52
5/19/12,69,84,54
5/20/12,75.5,90,61
5/21/12,57,63,51
5/22/12,55.5,64,47
5/23/12,58,71,45
5/24/12,71.5,83,60
5/25/12,68.5,76,61
5/26/12,63,69,57
5/27/12,70,82,58
5/28/12,79,89,69
5/29/12,69.5,79,60
5/30/12,56.5,65,48
5/31/12,48,50,46
6/1/12,54.5,61,48
6/2/12,61.5,75,48
6/3/12,69.5,80,59
6/4/12,62,68,56
6/5/12,59,65,53
6/6/12,60,70,50
6/7/12,65.5,79,52
6/8/12,75.5,87,64
6/9/12,78.5,90,67
6/10/12,77.5,89,66
6/11/12,79.5,88,71
6/12/12,64,73,55
6/13/12,60,69,51
6/14/12,63.5,74,53
6/15/12,71.5,86,57
6/16/12,75.5,85,66
6/17/12,75.5,84,67
6/18/12,82.5,93,72
6/19/12,85,94,76
6/20/12,85,93,77
6/21/12,77,85,69
6/22/12,70,79,61
6/23/12,66,75,57
6/24/12,73.5,86,61
6/25/12,62.5,70,55
6/26/12,63.5,73,54
6/27/12,76,93,59
6/28/12,86.5,96,77
6/29/12,77,86,68
6/30/12,81.5,92,71
7/1/12,77,84,70
7/2/12,78,87,69
7/3/12,85,97,73
7/4/12,91.5,102,81
7/5/12,88,103,73
7/6/12,85,94,76
7/7/12,77,86,68
7/8/12,74,81,67
7/9/12,74,80,68
7/10/12,70.5,77,64
7/11/12,72,82,62
7/12/12,76.5,86,67
7/13/12,79,89,69
7/14/12,81,91,71
7/15/12,80,88,72
7/16/12,86.5,98,75
7/17/12,86.5,100,73
7/18/12,75.5,81,70
7/19/12,73.5,80,67
7/20/12,71.5,77,66
7/21/12,77,87,67
7/22/12,81,89,73
7/23/12,88.5,99,78
7/24/12,78.5,86,71
7/25/12,83,96,70
7/26/12,77,85,69
7/27/12,74,80,68
7/28/12,70.5,76,65
7/29/12,73,81,65
7/30/12,79.5,87,72
7/31/12,73,77,69
8/1/12,78,88,68
8/2/12,80.5,89,72
8/3/12,78,85,71
8/4/12,79.5,88,71
8/5/12,72,80,64
8/6/12,72.5,85,60
8/7/12,78.5,91,66
8/8/12,73.5,77,70
8/9/12,66.5,71,62
8/10/12,66.5,73,60
8/11/12,66,76,56
8/12/12,69.5,78,61
8/13/12,65.5,70,61
8/14/12,67.5,77,58
8/15/12,74,84,64
8/16/12,69.5,76,63
8/17/12,65.5,74,57
8/18/12,65.5,76,55
8/19/12,66.5,75,58
8/20/12,64.5,72,57
8/21/12,66.5,77,56
8/22/12,69.5,81,58
8/23/12,77.5,89,66
8/24/12,79,88,70
8/25/12,77.5,89,66
8/26/12,75,78,72
8/27/12,77,86,68
8/28/12,69,76,62
8/29/12,72.5,82,63
8/30/12,79,91,67
8/31/12,80,92,68
9/1/12,71,74,68
9/2/12,74.5,80,69
9/3/12,75,83,67
9/4/12,75,85,65
9/5/12,71.5,78,65
9/6/12,73,81,65
9/7/12,67,77,57
9/8/12,61,70,52
9/9/12,61,69,53
9/10/12,65,75,55
9/11/12,70.5,83,58
9/12/12,75,86,64
9/13/12,58.5,64,53
9/14/12,62.5,75,50
9/15/12,62,74,50
9/16/12,65.5,76,55
9/17/12,64,77,51
9/18/12,51,59,43
9/19/12,55.5,72,39
9/20/12,59.5,69,50
9/21/12,53.5,58,49
9/22/12,50,58,42
9/23/12,49.5,58,41
9/24/12,54.5,70,39
9/25/12,65,79,51
9/26/12,55.5,62,49
9/27/12,54.5,60,49
9/28/12,56.5,64,49
9/29/12,63,75,51
9/30/12,55,63,47
10/1/12,55.5,65,46
10/2/12,57,65,49
10/3/12,60.5,67,54
10/4/12,63.5,79,48
10/5/12,46,52,40
10/6/12,42.5,47,38
10/7/12,42.5,50,35
10/8/12,47,61,33
10/9/12,53,64,42
10/10/12,43,49,37
10/11/12,52.5,65,40
10/12/12,42,50,34
10/13/12,54.5,64,45
10/14/12,57.5,67,48
10/15/12,47,52,42
10/16/12,50.5,63,38
10/17/12,61.5,69,54
10/18/12,49,54,44
10/19/12,46,50,42
10/20/12,50,58,42
10/21/12,47,59,35
10/22/12,53.5,60,47
10/23/12,54.5,58,51
10/24/12,64.5,76,53
10/25/12,57,73,41
10/26/12,42.5,49,36
10/27/12,38,44,32
10/28/12,41.5,47,36
10/29/12,41.5,48,35
10/30/12,41,45,37
10/31/12,41,48,34
11/1/12,43.5,53,34
11/2/12,38.5,44,33
11/3/12,37.5,44,31
11/4/12,37.5,45,30
11/5/12,35.5,42,29
11/6/12,36.5,43,30
11/7/12,41.5,46,37
11/8/12,40.5,44,37
11/9/12,40,48,32
11/10/12,56.5,65,48
11/11/12,53,67,39
11/12/12,32.5,39,26
11/13/12,30,38,22
11/14/12,37,45,29
11/15/12,40,49,31
11/16/12,39.5,48,31
11/17/12,40,53,27
11/18/12,41.5,53,30
11/19/12,44.5,53,36
11/20/12,43,52,34
11/21/12,46.5,59,34
11/22/12,53.5,63,44
11/23/12,35.5,44,27
11/24/12,27,30,24
11/25/12,32.5,40,25
11/26/12,25.5,31,20
11/27/12,23.5,31,16
11/28/12,33.5,41,26
11/29/12,41.5,51,32
11/30/12,42,44,40
12/1/12,49,58,40
12/2/12,49,59,39
12/3/12,54.5,65,44
12/4/12,43,56,30
12/5/12,30,36,24
12/6/12,38.5,44,33
12/7/12,39.5,43,36
12/8/12,35.5,38,33
12/9/12,36.5,38,35
12/10/12,33.5,37,30
12/11/12,29.5,34,25
12/12/12,36.5,45,28
12/13/12,40,48,32
12/14/12,34.5,44,25
12/15/12,42,47,37
12/16/12,42,47,37
12/17/12,32.5,38,27
12/18/12,31.5,36,27
12/19/12,32.5,38,27
12/20/12,37.5,42,33
12/21/12,26.5,34,19
12/22/12,22,29,15
12/23/12,24,28,20
12/24/12,26.5,30,23
12/25/12,26,31,21
12/26/12,28.5,31,26
12/27/12,27.5,29,26
12/28/12,30.5,33,28
12/29/12,25,30,20
12/30/12,21,31,11
12/31/12,23.5,33,14
1/1/13,12.5,18,7
1/2/13,17,27,7
1/3/13,21.5,27,16
1/4/13,21.5,30,13
1/5/13,27,36,18
1/6/13,27.5,35,20
1/7/13,28.5,39,18
1/8/13,33.5,40,27
1/9/13,36,43,29
1/10/13,31.5,40,23
1/11/13,44.5,51,38
1/12/13,40,52,28
1/13/13,21,28,14
1/14/13,19,27,11
1/15/13,22.5,30,15
1/16/13,26,34,18
1/17/13,24,31,17
1/18/13,28,42,14
1/19/13,32,44,20
1/20/13,14,20,8
1/21/13,5,12,-2
1/22/13,1.5,8,-5
1/23/13,11.5,19,4
1/24/13,11.5,20,3
1/25/13,21,25,17
1/26/13,19,27,11
1/27/13,29,34,24
1/28/13,37.5,44,31
1/29/13,48.5,60,37
1/30/13,28,38,18
1/31/13,11.5,18,5
2/1/13,4,9,-1
2/2/13,11,14,8
2/3/13,14,20,8
2/4/13,15,20,10
2/5/13,17,29,5
2/6/13,20,35,5
2/7/13,29.5,34,25
2/8/13,22.5,26,19
2/9/13,20,30,10
2/10/13,34.5,43,26
2/11/13,35,42,28
2/12/13,25.5,29,22
2/13/13,31,41,21
2/14/13,33.5,37,30
2/15/13,23,30,16
2/16/13,14.5,20,9
2/17/13,18.5,29,8
2/18/13,38.5,48,29
2/19/13,21.5,34,9
2/20/13,14.5,22,7
2/21/13,23,28,18
2/22/13,28.5,32,25
2/23/13,26,30,22
2/24/13,29,39,19
2/25/13,28.5,38,19
2/26/13,33,34,32
2/27/13,32.5,34,31
2/28/13,30,34,26
3/1/13,25,27,23
3/2/13,23,28,18
3/3/13,21,29,13
3/4/13,22.5,31,14
3/5/13,30,32,28
3/6/13,31,35,27
3/7/13,29.5,35,24
3/8/13,27,36,18
3/9/13,35,39,31
3/10/13,39,43,35
3/11/13,35.5,39,32
3/12/13,29.5,34,25
3/13/13,26.5,32,21
3/14/13,27.5,34,21
3/15/13,33.5,38,29
3/16/13,27.5,30,25
3/17/13,26,30,22
3/18/13,27,34,20
3/19/13,22.5,31,14
3/20/13,16.5,21,12
3/21/13,21.5,30,13
3/22/13,25.5,33,18
3/23/13,29,35,23
3/24/13,32.5,35,30
3/25/13,32.5,35,30
3/26/13,36,41,31
3/27/13,38.5,44,33
3/28/13,37,45,29
3/29/13,39,49,29
3/30/13,42.5,57,28
3/31/13,42.5,53,32
4/1/13,31.5,37,26
4/2/13,34,42,26
4/3/13,32,39,25
4/4/13,43,58,28
4/5/13,37.5,42,33
4/6/13,48,61,35
4/7/13,44,53,35
4/8/13,43,50,36
4/9/13,37,39,35
4/10/13,36,38,34
4/11/13,36.5,38,35
4/12/13,39.5,43,36
4/13/13,35,40,30
4/14/13,39.5,49,30
4/15/13,52,62,42
4/16/13,45,54,36
4/17/13,40.5,44,37
4/18/13,46.5,54,39
4/19/13,36,41,31
4/20/13,35.5,43,28
4/21/13,38,45,31
4/22/13,48.5,58,39
4/23/13,46.5,56,37
4/24/13,43.5,52,35
4/25/13,46,53,39
4/26/13,52.5,68,37
4/27/13,54.5,62,47
4/28/13,54.5,63,46
4/29/13,60.5,72,49
4/30/13,67.5,85,50
5/1/13,62,81,43
5/2/13,42.5,47,38
5/3/13,40.5,44,37
5/4/13,50.5,58,43
5/5/13,51.5,60,43
5/6/13,56,66,46
5/7/13,58.5,69,48
5/8/13,61,76,46
5/9/13,55.5,70,41
5/10/13,42.5,44,41
5/11/13,47.5,55,40
5/12/13,45,53,37
5/13/13,42,51,33
5/14/13,64.5,78,51
5/15/13,66.5,77,56
5/16/13,62.5,74,51
5/17/13,51,56,46
5/18/13,57.5,67,48
5/19/13,65.5,79,52
5/20/13,74,86,62
5/21/13,72,81,63
5/22/13,58,66,50
5/23/13,46.5,52,41
5/24/13,44.5,51,38
5/25/13,48.5,55,42
5/26/13,49.5,60,39
5/27/13,51.5,54,49
5/28/13,62,75,49
5/29/13,66,79,53
5/30/13,75,86,64
5/31/13,71,80,62
6/1/13,69.5,77,62
6/2/13,55,66,44
6/3/13,53.5,66,41
6/4/13,58.5,67,50
6/5/13,55,60,50
6/6/13,54.5,57,52
6/7/13,57.5,66,49
6/8/13,56.5,64,49
6/9/13,61.5,72,51
6/10/13,63.5,70,57
6/11/13,72,85,59
6/12/13,64,71,57
6/13/13,61.5,68,55
6/14/13,60,67,53
6/15/13,63.5,73,54
6/16/13,76.5,85,68
6/17/13,70,85,55
6/18/13,58.5,64,53
6/19/13,59.5,70,49
6/20/13,67,78,56
6/21/13,71.5,78,65
6/22/13,70,77,63
6/23/13,77.5,88,67
6/24/13,75,81,69
6/25/13,74,81,67
6/26/13,70,75,65
6/27/13,75.5,88,63
6/28/13,72,80,64
6/29/13,65,69,61
6/30/13,65.5,70,61
7/1/13,67,74,60
7/2/13,63.5,69,58
7/3/13,63,66,60
7/4/13,70.5,80,61
7/5/13,75.5,84,67
7/6/13,74.5,83,66
7/7/13,80.5,90,71
7/8/13,78.5,88,69
7/9/13,76,84,68
7/10/13,74,80,68
7/11/13,70,79,61
7/12/13,67,78,56
7/13/13,70.5,81,60
7/14/13,75,84,66
7/15/13,78,85,71
7/16/13,84,93,75
7/17/13,87,95,79
7/18/13,87,95,79
7/19/13,86.5,94,79
7/20/13,75,83,67
7/21/13,70,76,64
7/22/13,75,86,64
7/23/13,69,76,62
7/24/13,63.5,70,57
7/25/13,67.5,79,56
7/26/13,67.5,72,63
7/27/13,60,64,56
7/28/13,61.5,69,54
7/29/13,63,68,58
7/30/13,64.5,73,56
7/31/13,70.5,77,64
8/1/13,71,79,63
8/2/13,72.5,82,63
8/3/13,68,76,60
8/4/13,65.5,71,60
8/5/13,66.5,75,58
8/6/13,74,84,64
8/7/13,72.5,81,64
8/8/13,68,74,62
8/9/13,70,81,59
8/10/13,66.5,74,59
8/11/13,65.5,73,58
8/12/13,70,77,63
8/13/13,61,68,54
8/14/13,60.5,68,53
8/15/13,66.5,76,57
8/16/13,69,77,61
8/17/13,67,77,57
8/18/13,67.5,78,57
8/19/13,73.5,84,63
8/20/13,76,86,66
8/21/13,79,89,69
8/22/13,69,76,62
8/23/13,67,76,58
8/24/13,68,79,57
8/25/13,79,90,68
8/26/13,82,90,74
8/27/13,84,95,73
8/28/13,73,77,69
8/29/13,75.5,84,67
8/30/13,81.5,95,68
8/31/13,70,75,65
9/1/13,74,85,63
9/2/13,66,73,59
9/3/13,65,76,54
9/4/13,70,82,58
9/5/13,62.5,68,57
9/6/13,68.5,84,53
9/7/13,76.5,84,69
9/8/13,69.5,72,67
9/9/13,76.5,84,69
9/10/13,86.5,95,78
9/11/13,76,83,69
9/12/13,65,74,56
9/13/13,55.5,62,49
9/14/13,58,70,46
9/15/13,58,62,54
9/16/13,54,62,46
9/17/13,56.5,66,47
9/18/13,70,79,61
9/19/13,74.5,81,68
9/20/13,67.5,75,60
9/21/13,55.5,61,50
9/22/13,52.5,60,45
9/23/13,54.5,61,48
9/24/13,58.5,66,51
9/25/13,58.5,66,51
9/26/13,60.5,71,50
9/27/13,62,74,50
9/28/13,67,78,56
9/29/13,58,66,50
9/30/13,58,71,45
10/1/13,69.5,82,57
10/2/13,62,73,51
10/3/13,67.5,77,58
10/4/13,64.5,69,60
10/5/13,66.5,71,62
10/6/13,56,65,47
10/7/13,57,66,48
10/8/13,57.5,72,43
10/9/13,59,69,49
10/10/13,57,69,45
10/11/13,59.5,69,50
10/12/13,58,70,46
10/13/13,52,62,42
10/14/13,50,59,41
10/15/13,54.5,61,48
10/16/13,51,56,46
10/17/13,47,52,42
10/18/13,46,51,41
10/19/13,47.5,54,41
10/20/13,43.5,52,35
